Step,Training Loss,Validation Loss,Accuracy
5286,NaN,1.51843,0.688444
10000,1.6697,NaN,NaN
10572,1.6697,1.154985,0.792316
15858,1.6697,1.435257,0.771432
16019,1.6697,1.173131,0.797796
20000,1.1392,NaN,NaN
21144,1.1392,0.93392,0.819106
26430,1.1392,0.885864,0.84961
30000,0.808,NaN,NaN
31716,0.808,0.813997,0.862762
32038,0.808,0.889931,0.862336
37002,0.808,1.050567,0.869094
40000,0.4984,NaN,NaN
42288,0.4984,0.936222,0.883037
47574,0.4984,0.781786,0.891257
48057,0.4984,0.785497,0.89083
